text,cleaned_text,category
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $1,389 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 7320. Total paid: $1,710. Thank you for your business. Transaction processed on 2026-07-15. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 8473. Balance due: $6,398. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 2296. Total paid: $12,420. Thank you for your business. Transaction processed on 2026-06-01. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 6219. Balance due: $10,621. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 9595. Total paid: $11,311. Thank you for your business. Transaction processed on 2026-07-15. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $10,600 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 8382 - Payment Due. Please remit 13,337 by 2026-08-10. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 2877. Total paid: $9,719. Thank you for your business. Transaction processed on 2026-05-20. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 7541 - Payment Due. Please remit 8,370 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $7,824 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $4,749 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $11,600 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $8,959 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $10,390. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $13,315 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 1558. Balance due: $11,298. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Invoice 9400 - Payment Due. Please remit 10,277 by 2026-06-01. Description of services provided, including tax and total fees. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",invoice payment due please remit description service provided including tax total fee invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $2,724. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Receipt of transaction 3386. Total paid: $10,644. Thank you for your business. Transaction processed on 2026-07-15. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",receipt transaction total paid thank business transaction processed invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $10,330 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $6,532 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $1,638. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Purchase Order invoice. Vendor billing statement. Items: laptops, servers, accessories. Total payable: $14,460 including state taxes. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",purchase order invoice vendor billing statement item laptop server accessory total payable including state tax invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $9,817. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Billing Invoice for consulting work. Total amount due: $8,889. Payment terms: Net 30. Bank transfer info included. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",billing invoice consulting work total amount due payment term net bank transfer info included invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
"Monthly utility statement. Account number 4499. Balance due: $11,449. Please pay by the due date to avoid service interruption. invoice bill receipt transaction payment tax total charge account due outstanding bank swift",monthly utility statement account number balance due please pay due date avoid service interruption invoice bill receipt transaction payment tax total charge account due outstanding bank swift,Invoice/Financial
